name,category,symptom_list,description,url
annual ryegrass toxicity,toxic,"high-stepping gait, head arched backwards, loss of coordination, convulsions, sudden death","annual ryegrass toxicity (argt) is a fatal neurological disease caused by consuming rathayibacter toxicus-infected annual ryegrass (lolium rigidum). r. toxicus is carried by the anguina spp nematode, which invades and takes over grass seedheads and galls. r. toxicus produces yellow slime-like material and corynetoxins to aid in its invasion. horses grazing on grass or hay infected with corynetoxins, will eventually develop clinical signs of argt. all grazing animals are at risk of argt. cases of poisoning were first recorded in australia in 1956, followed by outbreaks in south africa in 1981 and japan in 1997. a. funesta has been reported in annual ryegrass in oregon, along with reports of argt-like poisonings of livestock in oregon in the 1940s and 1960s, although the cause was never confirmed. early clinical signs are: loss of leg coordination, high head-holding, and arching of the back. muscle tremors, intermittent body convulsions, head nodding, teeth grinding, and involuntary eye movement often follows soon after. during the later stages of argt, horses are seen lying on their side making walking motions. clinical signs may be seen over a period of several weeks duration.",https://horsedvm.com/disease/annual-ryegrass-toxicity
anthrax,infectious,"black blood from the mouth, nostrils, and found in droppings, fever, muscle tremors, difficulty breathing, colic, weakness, swelling of the neck, head, limbs, and/or abdomen, sudden death","anthrax is a highly contagious, rapidly fatal zoonotic disease, caused by the spore-forming bacteria bacillus anthracis. anthrax is an oie-listed disease, which is found worldwide, occurring on all continents except antarctia. it is typically a disease of ruminants and humans. b. anthracis is shed by its infected host onto the ground, and sporulates when exposed to air. these spores can live in the soil for decades and appears brown and powdery---similar to cinnamon or coca. bacilli exhibit an array of physiologic abilities that allow them to live in a wide range of habitats, including many extreme habitats such as desert sands, hot springs, and arctic soils. immunization has led to a global decline in livestock anthrax cases in any parts of the world. outbreaks are often associated with heavy rainfall, flooding, or drought. clinical signs differ depending on the route of transmission of the spores. inhalation of the spores is the most serious type of infection. affected animals usually die within 1–3 days, but some animals can survive for up to a week. transmission transmission to horses is generally caused by ingestion of the spores while grazing, browsing, or drinking. other, less likely ways are through inhaling dust containing the spores, direct animal-to-animal contact, biting flies, and human-associated malicious attempts. incubation period the incubation period is generally 1–7 days, but spores can germinate in the lungs up to six weeks post-infection.",https://horsedvm.com/disease/anthrax-in-horses
anticoagulant rodenticide toxicity,toxic,"excessive bleeding from wounds, pale mucous membranes, hematoma formation","anticoagulant rodenticide toxicity is caused by ingestion of anticoagulant rodenticides or by over supplementing horses with warfarin, often used for managing navicular disease in horses. there are two main categories of anticoagulants which differ in their toxicity:first-generation anticoagulants: the chemicals most commonly used are warfarin, chlorophacinone, and diphacinone. these usually require multiple feedings to induce poisoning, with concentrations ranging from 0.025 to 0.005%.second-generation anticoagulants: the most commonly found chemicals are brodifacoum, bromadiolone, and difethialone. this are generally much more toxic, killing the rodent in a single feeding and are much more biologically active.upon ingestion, anticoagulants inhibit epoxide reductase which reduces the ability for the horse to regenerate vitamin k. as the remaining vitamin k depletes, it will lead to inhibition of coagulation synthesis. depending on the amount of poison ingested, there will be a delayed onset of clinical signs of toxicity. clinical signs are often vague and generalized.",https://horsedvm.com/disease/anticoagulant-rodenticide-toxicity-in-horses
aortic insufficiency,cardiovascular,"poor performance, increased heart rate, swollen abdomen, fever, increased respiratory rate, congestive heart failure, death","aortic insufficiency (ai), also referred to as aortic regurgitation (ar), is the leaking of the aortic valve of the heart that causes blood to flow in the reverse direction during ventricular diastole, from the aorta into the left ventricleis. ai is most commonly caused by degenerative valve thickening and aortic valve prolapse. other causes include congenital malformations, leaﬂet tearing, infective endocarditis, valvulitis, fenestrations, and aortic root disease. the aortic valve regulates the blood flow from the heart's lower-left chamber (the left ventricle) into the aorta. the aorta is the main vessel that supplies blood to the rest of the body. with ai, the aortic valve in the heart does not close tightly, which causes blood to flow backwards from a widened or weakened aortic valve into the heart's lower chamber (the left ventricle). this means the left ventricle never fully empties of blood before the next load of blood arrives from the left atrium. as a result, the left ventricle of the heart expands its capacity to accommodate the leftover blood and the new blood; this means the heart must work extra hard and keeps trying to pump out all of the blood, even though it can't; this can cause the horse to become tired faster and over time can lead to heart failure. the most serious form of aortic regurgitation is caused by endocarditis, an infection that leaves holes in the valve leaflets. since ai tends to affect older horses, many times the condition goes unnoticed by the owner, since the expectation of performance level in older horses generally decreases with age.",https://horsedvm.com/disease/aortic-insufficiency-regurgitation-in-horses
aortic rupture,cardiovascular,"distress, sudden death, increased rectal temperature, pale mucous membranes, increased heart rate, bounding arterial pulse, increased jugular pulse","aortic rupture is a rare, life threatening condition that occurs mainly in friesian horses. in friesians, the rupture will usually occur at the aortic arch near the ligamentum arteriosum, and will result in an aortopulmonary fistula. depending on the severity of the rupture, horses may be found dead or depending on the type of rupture, the horse might survive for a variable number of years but usually less than 5 years.",https://horsedvm.com/disease/aortic-rupture-in-horses
aorto-iliac thrombosis,cardiovascular,"increasing poor performance, hindlimb lameness during or following exercise, weakness, weak or absence of digital pulse, altered behavior, cold extremities despite sweating elsewhere, colic-like symptoms","aorto-iliac thrombosis (ait) is a progressive vascular disease which causes blockage of the blood vessels to the hindlimbs of the horse. the disease is characterized by hindlimb lameness following exercise that may also remain cool when the horse is sweating. horses may demonstrate severe discomfort during or after exercise by pawing and showing colic-like symptoms. these symptoms tend to pass within an hour. horses that are forced to work through the pain develop a more severe lameness and may require significantly more time for the clinical signs to resolve. early treatment is essential. as the thrombus increases in size, reduced performance occurs progressively with less strenuous activity.",https://horsedvm.com/disease/aorto-iliac-thrombosis-in-horses
arytenoid chondritis,respiratory,"abnormal respiratory noise during exercise, progressive exercise intolerance, difficulty breathing during exercise, cough when exerted, fever","arytenoid chondritis is a progressive inflammatory condition of the horse's arytenoid cartilages. the arytenoid cartilages are paired flaps of cartilage that lie at the opening to the trachea or windpipe. during inspiration, these flaps are pulled apart to allow as much air as possible to pass through the trachea and into the lungs. they then return to a semi-open position during expiration. there are three clinical presentations of arytenoid chondritis in horses, including: simple mucosal ulceration, granulomas, and cartilage deformity. it is the size of the granulomas or enlargement of the body of the arytenoid which determines the presence and severity of the obstruction of the airway. chondritic arytenoid cartilages are significantly larger and abnormal in shape compared to arytenoid cartilage in normal horses. signs of arytenoid chondritis arytenoid chondritis most commonly presents in horses as reduced athletic performance and respiratory stridor, as a result of upper airway dysfunction. horses with arytenoid chondritis can have similar symptoms and histories as horses with laryngeal hemiplegia (roarers). arytenoid chondritis treatment options the most common treatment for arytenoid chondritis involves surgery. medical therapy is also sometimes performed, which includes administering broad-spectrum antibiotics and placement of a tracheostomy tube.",https://horsedvm.com/disease/arytenoid-chondritis-in-horses
ascaridiasis,digestive,"dull or rough haircoat, pot bellied appearance, coughing, lethargy, diarrhea, colic, nasal discharge, stunted growth, reduced gastrointestinal sounds","ascaridiasis is the resulting disease caused by ascarids (roundworms) which invade and live within the small intestine of the horse. parascaris equorum is one of the largest types of roundworms that affects horses, which can grow up to 10.5 cm in length as mature adult worms. ascarids are predominately found in younger horses, under 2 years of age. ascaridiasis is rare in mature adult horses. clinical signs differ on presentation depending on the number of worms within the foal's body. when there are large populations, it can often cause a problem with nutrient absorption, as the worms compete with foal for the amino acids and protein in food once ingested by the foal. foals may develop hypoproteinemia and appear malnourished, with poor quality hair coats, pot-bellied appearance, and stunted growth. without proper treatment, severe infestations can result in colic and eventually intestinal rupture followed by death. another problem affecting foals with ascaridiasis, is the risk of an impaction colic caused by the development and/or inflammatory reaction to the dead larvae in the small intestine, following anthelmintic treatment for the worms (which can occur in less than 24 hours to up to 6 days). the likelihood that the foal will suffer from impaction following treatment is not directly correlated with the number of worms in the intestines. it is thought to possibly be caused by a hypersensitivity reaction to the antigens in the roundworms. transmission horses ingest the eggs while they are grazing on pasture grass. once inside the horse, the eggs will hatch larvae that will immediately burrow into the horse's small intestines and migrate through other organs in order to get to the lungs. once in the lungs, the larvae often get coughed up and swallowed again by the animal, where they are returned to the small intestines. as the larvae become adults, they begin producing eggs, which are passed by the foal in their feces. the total life cycle takes about 3 months. many ascarids have developed a resistance to many of the common chemicals in deworming medications.",https://horsedvm.com/disease/ascaridiasis-in-horses
atopic dermatitis,integumentary,"intense itching, wheals, hair loss, scaling, lichenification","atopic dermatitis (ad) is a chronic, immune-mediated, inflammatory skin condition found to affect horses. it occurs as a result of an interaction between genetic predisposition and environmental factors such as allergens (dust, mold, and/or pollen). it is caused by the horse's inability to repair damage to the skin barrier. the disease can occur seasonally or nonseasonally, depending on the allergens involved. certain horse breeds are more prone to developing allergies; these include dutch warmbloods, morgans, paso finos, swedish warmbloods, oldenburgs, hackney horses, arabians, arabian/saddlebred cross breeds, and polish arabians. although itching is the primary symptom, skin lesions can range from mild redness to severe lichenification.",https://horsedvm.com/disease/atopic-dermatitis-in-horses
atrial fibrillation,cardiovascular,"exercise intolerance, increased heart rate during exercise, lethargy, coughing, nasal discharge, shortness of breath","atrial fibrillation (af) is the most common arrhythmia (abnormal heart rhythm) affecting performance horses. a normal horse's heart beats in a steady, rhythmic pattern. in a horse with af's heart, the upper chambers of the heart fibrillate (quiver or twitch quickly) and create an irregular rhythm. it's characterized by an irregularly irregular rhythm that can sound like a combination of premature beats and long pauses. causes of af some horse breeds (such as the standardbred, warmblood, and draft horse) have a genetic predisposition to af. any horses with existing structural heart disease are more at risk of developing recurrent or persistent af. there is speculation that electrolyte abnormalities might be associated with the development of af in horses. diagnosis and evaluation of af af is usually recognized by your veterinarian during auscultation (when listening to the horse's heart). the diagnosis is confirmed with an electrocardiography (ecg), which checks for problems with the electrical activity of the heart. it shows the heart's electrical activity as line tracings on paper. an echocardiogram may also be performed to identify any underlying structural heart disease, valvular regurgitation, and cardiac (atrial) enlargement. af management strategies management strategies for horses with af include no treatment, pharmacologic cardioversion (long-term anti-arrhythmic therapy) and transvenous electrical cardioversion (tvec). administration of anti-arrhythmic drugs (quinidine salts) has been the traditional method of management of af in horses. it is effective in approximately 80% of horses but involves a range of dose-related and idiosyncratic toxic responses which vary from mild and benign to fatal. indications for quinidine treatment in horses include lone af, af with mild la enlargement, and comorbidities in which general anesthesia or tvec are not options. tvec involves the application of electrical shock through the use of internal electrical cardioversion with catheter-mounted electrodes. it should only be performed by experienced operators using specialized equipment. tvec can be used to treat lone af, af with mild la enlargement, and horses either intolerant of or unresponsive to quinidine treatment or horses in which quinidine is contraindicated. recurrence of af horses are more at risk of af recurrence when they have an underlying cardiac disease, especially chronic valvular regurgitation with atrial enlargement.",https://horsedvm.com/disease/atrial-fibrillation-in-horses
atypical myopathy,toxic,"red or brown urine, weakness, recumbency or reluctance to move, stiffness, depression, tachycardia, trembling, sweating, congested mucous membranes, difficulty swallowing","atypical myopathy (am) also known as seasonal pasture myopathy (spm), is a frequently fatal disease in horses caused by eating sycamore seeds (""helicopers"") or seedlings from the sycamore (acer pseudoplatanus) and/or box elder (acer negundo) trees. the seeds contain hypoglycin a, which is metabolized into a toxic substance known as mcpa (methylenecyclopropylacetic acid). mcpa prevents energy from being produced within the horses' muscle cells which result in damage to the muscles in the body. the severity of the disease varies from horse to horse, as it depends on the amount of toxin within the seeds and seedlings, amount eaten, and individual susceptibility of the horse. affected horses may develop a wide range of clinical signs and may initially include lethargy, loss of appetite and reluctance to work. am affects full-time pastured horses and is more frequently reported in the autumn, immediately following inclement weather such as cold, humidity and rain. horses that develop am are usually kept in sparse pastures with an accumulation of dead leaves, dead wood and trees in or around the pasture and are often not fed any supplementary hay or feed.",https://horsedvm.com/disease/atypical-myopathy
aural plaques,integumentary,"raised, white-colored plaques in the inner ear, ear and head hypersensitivity, difficulty getting halter on and off, thickened hyperkeratotic skin","aural plaques are characterized by the development of small areas of round to oval, white raised, papillomatous, depigmented skin lesions that appear on the inside surface of the horse's ear. although infectious, the skin lesions are not of any concern as they are benign. what causes aural plaques aural plaques are caused by a papillomavirus infection with the equus caballus papillomavirus (ecpv). the virus is spread by black flies (simulium species). the geographical reach of aural plaques is generally limited to horses in north america, however it has been recently introduced to new zealand from horses imported from the united states and canada. signs of aural plaques horses with aural plaques tend to be very sensitive about people touching their ears, which may cause them to act up when trying to put on or take off a halter or bridle. horses with aural plaques will often raise their head or quickly pull away if someone even gently touches their ear.",https://horsedvm.com/disease/aural-plaques-in-horses
australian bat lyssavirus,infectious,"fever, progressive ataxia, paralysis, convulsions, death","australian bat lyssavirus (ablv) is a virus of the lyssavirus genus which is closely related to the common rabies virus. ablv is one of twelve types of lyssavirus which are found around the world. ablv is the only one of these known to occur in australia. bats are the only known reservoirs for ablv. ablv has been isolated from five bat species including all four common species of flying fox present in mainland australia (pteropus alecto, p. poliocephalus, p. scapulatus and p. conspicullatus) and the insectivorous microbat saccolaimus flaviventris, however it is thought that all australian bats serve as host reservoirs of the virus. ablv can infect animals and humans. since the discovery of ablv in 1996, three people have died as a result of ablv infection after being bitten or scratched by bats in australia. in may 2013, two horses were diagnosed with ablv. transmission transmission of the virus from bats to horses is thought to be by a bite or scratch, or potentially due to exposure to bat saliva. ablv is unlikely to survive outside the bat for more than a few hours, especially in dry environments that are exposed to sunlight.",https://horsedvm.com/disease/equine-australian-bat-lyssavirus
australian stringhalt,neurological,"abnormal gait, hind limb hyperflexion, muscle atrophy, depression, aggressive behavior","australian stringhalt, also known as pasture-associated stringhalt, is a debilitating neurological condition of horses characterized by an abnormal gait and involuntary extreme hyper (over) flexion of the hindlimbs when attempting to walk. australian stringhalt can occur in individual horses sporadically or in outbreaks involving multiple horses turned out together in the same pasture. australian stringhalt occurs in horses worldwide. outbreaks of as have been well documented in horses in the united states, united kingdom, new zealand, australia, france, chile, and japan. onset is often seasonal, with more cases diagnosed during dry conditions in late summer or fall. it was first reported over 120 years ago in horses in south-eastern australia. australian stringhalt is one of three different forms of stringhalt that have been documented in horses. it is caused by grazing in pastures containing certain plants that are considered toxic to horses. the most common being catsear (hypochaeris radicata), also known as flatweed. in one study, it was reported that 65 out of 66 paddocks with horses that developed as, contained catsear. the specific toxin in the plant, known to cause stringhalt has not yet been identified. it is thought to be related to a possible fungal contamination, related to mycotoxins similar to that seen in horses with ryegrass staggers. horses with australian stringhalt have such an extreme hindlimb hyperflexion such that the hindlimb may make contact under the belly when they try to take a step forward. the abnormal gait is caused by involuntary control of the hindlimbs. recovery can take anywhere from a few days to 18 months. the average recovery period is 6-12 months. there may also be a relationship between australian stringhalt and recurrent laryngeal neuropathy (rln) in horses.",https://horsedvm.com/disease/australian-stringhalt
bee sting,integumentary,"stinger still intact, pain, swelling, redness, tachycardia, profuse swelling, circling","occasionally horses can get stung by honeybees. bee venom is made up of large-molecular-weight proteins, peptides, various amines, simple organic molecules and other bioactive elements. most of the time, if it is a single sting, the horse might experience a mild local reaction in the form of pain, swelling, redness, itching, and a wheal surrounding the wound made by the stinging apparatus. however, sometimes a horse may have an allergic reaction to the venom, which can be life threatening to the animal without early recognition of clinical signs and prompt treatment. the severity of the reaction is directly related to the dose of venom and associated clinical signs. the lethal dose of honeybee venom is estimated to be 20 stings per kilogram of body weight. two types of reactions are typically associated with bee stings---local reactions or serious systemic illness, usually caused by ige-mediated anaphylaxis rather than by toxic envenomation. possible systemic illness effects include intravascular haemolysis, rhabdomyolysis, acute renal failure, myocardial damage, hepatic injury, acute respiratory distress syndrome and disseminated intravascular coagulation.",https://horsedvm.com/disease/bee-stings-in-horses
black locust toxicity,digestive,"weakness, diarrhea, labored breathing, rapid heart rate, depression, colic, constipation, irregular heart beat","black locust (robinia pseudoacacia) is an ornamental tree which can reach 40 to 100 feet in height at maturity. seedlings grow rapidly and are easily identified by long, paired thorns. leaves are dark green oval to rounded which alternate along stems in leaflets. in the spring, fragrant white flowers with yellow tips appear in drooping clusters. the tree is found frequently in thickets and waste areas and drained woods. all parts of the tree are toxic--seeds, leaves, bark and twigs. the main toxic component is robin--a plant phytotoxin similar to that found in castor bean and rosary pea. horses usually don't eat parts of the tree, unless little other food is available to them. consuming as little as 0.04% body weight can be fatal.",https://horsedvm.com/disease/black-locust-toxicity
black walnut toxicity,digestive,"bounding pulse, shifting weight to the hind limbs, odd stance, lameness, lower leg swelling, respiratory distress, anorexia, colic, lethargy","black walnut (juglans nigra) is a large tree which is often planted as an ornamental or for its hardwood value. wood shavings used for bedding for horses that contain as little as 20% of black walnut wood will cause laminitis in horses. close association with walnut trees while pollen is being shed (typically in may) may cause horses to develop allergy symptoms. there have been reports of horses experiencing colic and respiratory distress after chewing on the bark of black walnut trees. toxin responsible the chemical responsible for black walnut toxicity in horses is juglone, which is a natural phenolic compound produced by the tree. the toxin is thought to be absorbed through the horse's coronary band and skin while they are standing on shavings. horse owners also need to take caution when using wood chips in pastures, for drainage or landscaping, as these products can sometimes be produced by black walnut trees. clinical signs clinical signs of black walnut toxicity (relating to laminitis) usually develop in affected horses within 8 to 18 hours after exposure to the toxin.",https://horsedvm.com/disease/black-walnut-toxicity
